Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2011,1,0.844,0.161,-0.003,-1.450,-1.485,-2.967,-3.070,-1.454,3.231,2.964,0.164,0.103,3.630,9.850,-3.671,0
2011,2,0.686,0.087,-0.054,-1.483,-1.517,-2.981,-3.049,-1.481,3.136,2.927,0.141,0.068,3.590,9.780,-3.703,0
2011,3,0.695,0.035,-0.083,-1.501,-1.539,-2.996,-3.062,-1.513,3.096,2.913,0.117,0.066,3.630,9.850,-3.749,0
2011,4,0.658,0.079,-0.034,-1.456,-1.496,-2.958,-3.042,-1.481,3.121,2.924,0.113,0.084,3.660,9.850,-3.761,0
2011,5,0.719,0.162,0.030,-1.372,-1.409,-2.849,-2.962,-1.400,3.124,2.879,0.132,0.113,3.680,9.890,-3.549,0
2011,6,0.659,0.191,0.045,-1.357,-1.395,-2.836,-2.936,-1.372,3.127,2.881,0.146,0.100,3.720,9.900,-3.322,0
2011,7,0.519,0.171,0.019,-1.390,-1.434,-2.887,-2.969,-1.399,3.140,2.906,0.152,0.082,3.690,9.830,-3.277,0
2011,8,0.490,0.180,0.061,-1.371,-1.417,-2.895,-2.952,-1.386,3.132,2.956,0.119,0.057,3.680,9.840,-3.533,0
2011,9,0.730,0.130,0.024,-1.423,-1.458,-2.941,-3.009,-1.439,3.139,2.965,0.106,0.068,3.650,9.830,-3.529,0
2011,10,0.739,0.200,0.080,-1.356,-1.395,-2.871,-2.972,-1.386,3.172,2.951,0.120,0.101,3.650,9.840,-3.666,0
2011,11,0.753,0.083,-0.049,-1.473,-1.508,-2.968,-3.081,-1.499,3.164,2.919,0.132,0.113,3.580,9.780,-3.714,0
2011,12,0.683,0.014,-0.123,-1.510,-1.541,-2.960,-3.078,-1.532,3.092,2.837,0.137,0.118,3.670,9.830,-3.581,0
2012,1,0.763,0.029,-0.142,-1.534,-1.566,-2.991,-3.107,-1.539,3.136,2.849,0.171,0.116,3.620,9.840,-3.571,0
2012,2,0.395,0.019,-0.128,-1.532,-1.564,-3.001,-3.080,-1.530,3.099,2.873,0.147,0.079,3.670,9.840,-3.400,0
2012,3,0.307,-0.013,-0.121,-1.512,-1.546,-2.972,-3.063,-1.538,3.050,2.851,0.108,0.091,3.700,9.820,-3.737,0
2012,4,0.635,0.077,-0.016,-1.425,-1.464,-2.913,-3.006,-1.464,3.083,2.897,0.093,0.093,3.650,9.850,-3.526,0
2012,5,0.630,0.087,-0.039,-1.468,-1.508,-2.978,-3.096,-1.504,3.183,2.939,0.126,0.118,3.670,9.870,-3.715,0
2012,6,1.008,0.235,0.087,-1.347,-1.384,-2.855,-2.971,-1.368,3.206,2.942,0.148,0.116,3.670,9.910,-3.426,0
2012,7,0.675,0.176,0.020,-1.418,-1.456,-2.932,-3.028,-1.426,3.204,2.952,0.156,0.096,3.700,9.910,-3.502,0
2012,8,0.513,0.141,0.001,-1.430,-1.472,-2.946,-3.025,-1.442,3.166,2.947,0.140,0.079,3.750,9.930,-3.360,0
2012,9,0.467,0.037,-0.064,-1.467,-1.506,-2.949,-3.016,-1.489,3.053,2.885,0.101,0.067,3.730,9.910,-3.433,0
2012,10,0.801,0.107,0.000,-1.392,-1.426,-2.852,-2.957,-1.425,3.064,2.852,0.107,0.105,3.720,9.890,-3.509,0
2012,11,0.736,0.134,0.000,-1.429,-1.466,-2.933,-3.061,-1.463,3.195,2.933,0.134,0.128,3.680,9.880,-3.734,0
2012,12,0.820,0.145,0.006,-1.405,-1.438,-2.882,-3.006,-1.430,3.151,2.888,0.139,0.124,3.660,9.870,-3.741,0
2013,1,0.693,0.005,-0.132,-1.557,-1.591,-3.051,-3.133,-1.564,3.138,2.919,0.137,0.082,3.600,9.850,-3.681,0
2013,2,0.853,0.097,-0.047,-1.502,-1.537,-3.028,-3.129,-1.516,3.226,2.981,0.144,0.101,3.650,9.860,-3.553,0
2013,3,0.784,0.265,0.153,-1.350,-1.397,-2.948,-3.019,-1.377,3.284,3.101,0.112,0.071,3.630,9.840,-3.532,0
2013,4,0.664,0.106,-0.001,-1.491,-1.536,-3.071,-3.163,-1.528,3.269,3.070,0.107,0.092,3.600,9.820,-3.697,0
2013,5,0.774,0.125,0.013,-1.473,-1.516,-3.046,-3.150,-1.512,3.275,3.059,0.112,0.104,3.620,9.860,-3.689,0
2013,6,0.716,0.211,0.079,-1.401,-1.443,-2.965,-3.070,-1.429,3.281,3.044,0.132,0.105,3.670,9.890,-3.709,0
2013,7,0.810,0.192,0.062,-1.389,-1.432,-2.926,-3.011,-1.409,3.203,2.988,0.130,0.085,3.720,9.920,-3.510,0
2013,8,0.594,0.140,0.008,-1.416,-1.454,-2.916,-3.000,-1.430,3.140,2.924,0.132,0.084,3.740,9.930,-3.563,0
2013,9,0.409,0.097,-0.010,-1.423,-1.461,-2.913,-2.986,-1.444,3.083,2.903,0.107,0.073,3.720,9.930,-3.448,0
2013,10,0.488,0.079,-0.021,-1.424,-1.457,-2.894,-2.995,-1.458,3.074,2.873,0.100,0.101,3.740,9.920,-3.337,0
2013,11,0.492,0.031,-0.110,-1.522,-1.559,-3.009,-3.134,-1.551,3.165,2.899,0.141,0.125,3.680,9.900,-3.541,0
2013,12,0.703,0.104,-0.052,-1.518,-1.554,-3.057,-3.185,-1.540,3.289,3.005,0.156,0.128,3.640,9.880,-3.856,0
2014,1,1.086,0.123,-0.044,-1.529,-1.574,-3.105,-3.225,-1.551,3.348,3.061,0.167,0.120,3.610,9.840,-3.915,0
2014,2,0.494,0.034,-0.105,-1.567,-1.603,-3.102,-3.198,-1.582,3.232,2.997,0.139,0.096,3.620,9.900,-3.911,0
2014,3,0.722,0.083,-0.028,-1.521,-1.567,-3.106,-3.173,-1.545,3.256,3.078,0.111,0.067,3.650,9.870,-3.852,0
2014,4,0.630,0.135,0.028,-1.461,-1.507,-3.042,-3.126,-1.495,3.261,3.070,0.107,0.084,3.670,9.900,-3.496,0
2014,5,0.481,0.182,0.055,-1.409,-1.455,-2.965,-3.080,-1.449,3.262,3.020,0.127,0.115,3.670,9.880,-3.488,0
2014,6,0.686,0.175,0.037,-1.407,-1.454,-2.945,-3.050,-1.437,3.225,2.982,0.138,0.105,3.700,9.910,-3.508,0
2014,7,0.653,0.138,-0.003,-1.445,-1.491,-2.979,-3.061,-1.461,3.199,2.976,0.141,0.082,3.730,9.900,-3.687,0
2014,8,0.628,0.137,0.019,-1.418,-1.462,-2.944,-2.999,-1.431,3.136,2.963,0.118,0.055,3.720,9.900,-3.640,0
